FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26728680,POINT (16.298575101874277 48.20552718676092),16,Steinbruchstraße,60,2198,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728681,POINT (16.37603874267121 48.16324649244172),10,Dr. Eberle Gasse,2,3331,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728682,POINT (16.41161644584669 48.196961040472594),2,Stadionallee ,# Schüttelstraße,3428,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728683,POINT (16.32061818349913 48.214356536177),16,Arnethgasse,29,3151,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728684,POINT (16.320575164647195 48.210047018287476),16,Thalhaimergasse,43,2168,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728685,POINT (16.324123601089816 48.214431302593795),16,Arnethgasse,# Baldiagasse,0225,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728686,POINT (16.302236516426152 48.204863563331585),16,Steinbruchstraße,30,2169,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728687,POINT (16.316544820874185 48.21065602548815),16,Hasnerstraße,112,3135,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728688,POINT (16.30290511739535 48.20625826587262),16,Montlearstraße,# Agricolagasse,2170,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728689,POINT (16.319232978798894 48.21140830283933),16,Schuhmeierplatz,ggü. 23,2447,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728690,POINT (16.313870254224227 48.21085725656833),16,Hasnerstraße,7,2657,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728691,POINT (16.318811411049236 48.20757930556826),16,Herbststraße,87-91,2167,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728692,POINT (16.376454647606423 48.24130905328058),20,Meldemannstraße,# Schottenaustraße,1189,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728693,POINT (16.391502734896296 48.23286290350197),20,Innstraße,ggü. Vorgartenstraße,365,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727644,POINT (16.351943416206886 48.20643649341969),8,Neudeggergasse,1-3,0106,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727646,POINT (16.339949893069214 48.213056570400425),8,Hernalser Gürtel,# Laudongasse,2260,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727647,POINT (16.34569581056743 48.208689517112475),8,Lerchengasse,# Pfeilgasse,2262,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727648,POINT (16.352737254311435 48.20735173861793),8,Lange Gasse,11,0102,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727649,POINT (16.33865899181305 48.208660146577955),8,Lerchenfelder Gürtel,,1145,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727650,POINT (16.35244131965923 48.20821249514685),8,Lange Gasse,21-23,0108,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727651,POINT (16.34059138702907 48.21189265463829),8,Uhlplatz,,0103,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727652,POINT (16.339084612568225 48.20958485513539),8,Lerchenfelder Gürtel,(Stadtbahnbogen Gewölbe 26),1120,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727654,POINT (16.34395379330953 48.21424785130033),8,Albertplatz,5,3226,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727655,POINT (16.342238108478615 48.212081040758505),8,Bennoplatz,5,3225,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727656,POINT (16.35105014580651 48.21062691346992),8,Maria-Treu-Gasse,4,2264,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727657,POINT (16.34552230109803 48.213181714587584),8,Feldgasse,4,2259,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727659,POINT (16.348285153516517 48.20976484347577),8,Josefstädter Straße,40,3204,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727660,POINT (16.35154568288287 48.208117065752376),8,Neudeggergasse,22,2509,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727661,POINT (16.35310339877798 48.213382787987754),8,Laudongasse,1,0105,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727662,POINT (16.35539699567766 48.20689854195809),8,Lerchenfelder Straße,4,3540,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727663,POINT (16.339349600358528 48.21101704475885),8,Lerchenfelder Gürtel ,bei U-Bahn-Bogen 41,1144,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727664,POINT (16.350757920608658 48.208141927005066),8,Zeltgasse,6,0104,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727665,POINT (16.34634938795698 48.21116724512085),8,Klesheimgasse,4,1119,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727666,POINT (16.344277664000227 48.20897406387074),8,Pfeilgasse,20,0101,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727667,POINT (16.350282502554656 48.210512706739145),8,Jodok-Fink-Platz,ggü. 50,3208,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727668,POINT (16.34628079640425 48.212340559904014),8,Schlesingerplatz,ggü. Florianigasse 47-49,3227,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727669,POINT (16.37561457605188 48.19405595111994),4,Plößlgasse,11,2140,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727675,POINT (16.26502547343784 48.13818833547536),23,Reulingweg,,3456,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727676,POINT (16.29886075008261 48.14523635804391),23,Josef-Österreicher-Gasse,12,3457,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728694,POINT (16.37471804567103 48.24940660636242),20,Schonauergasse,ggü. 2,1194,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728695,POINT (16.367319034049366 48.23570346408918),20,Leipziger Platz,ggü. 2,2433,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728696,POINT (16.38443848853615 48.238003944697766),20,Allerheiligenplatz,ggü. 3,2991,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728697,POINT (16.37789401372846 48.239734770830005),20,Höchstädtplatz ,# Meldemannstraße,0351,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728698,POINT (16.36844446342366 48.244161346782974),20,Brigittenauer Lände,# Lorenz-Müller-Gasse,0383,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728699,POINT (16.24962639155219 48.21459973717226),14,Hüttelbergstraße,ggü. 71,1463,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728700,POINT (16.375036986524634 48.247085302067696),20,Leystraße,19-21,0031,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728701,POINT (16.366943776269483 48.23088154772827),20,Klosterneuburger Straße,44,0380,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728702,POINT (16.371165403790357 48.23919479264153),20,Jägerstraße,# Zrinyigasse,0370,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728703,POINT (16.37013985469812 48.25928164629792),20,Am Brigittenauer Sporn,,2993,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728704,POINT (16.376591325062034 48.22930625190723),20,Wasnergasse,ggü. 41,0372,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728705,POINT (16.37896249305582 48.24295831161157),20,Marchfeldstraße,16-18,32,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728706,POINT (16.382290399931726 48.24391653152352),20,Wehlistraße,32-38,0028,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728707,POINT (16.370862348116873 48.226683660847485),20,Wasnergasse,ggü. 3-5,0378,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728708,POINT (16.381262236339897 48.235268378164854),20,Dresdner Straße,70,2423,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728709,POINT (16.3790966492386 48.24785162069171),20,Aignerstraße,(Vor Aignersteg),0361,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728710,POINT (16.384364407327315 48.24119917745417),20,Maria-Restituta-Platz,,0363,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728711,POINT (16.37587967914649 48.24320420361528),20,Adalbert Stifter Straße,# Pasettistraße,1190,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728712,POINT (16.349482236440355 48.19125057770788),6,Grabnergasse,11-13,2704,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728713,POINT (16.373381782779838 48.22826798484252),20,Wasnergasse,ggü. Karl-Meißl-Straße,0373,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728714,POINT (16.415558025368675 48.16846756419176),11,Ehamgasse,51,2590,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728715,POINT (16.371893394797443 48.229424927392074),20,Wallensteinplatz,(in Achse Karl-Meißl-Straße 2),0376,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728716,POINT (16.379804213833914 48.229742954667124),20,Nordwestbahnstraße,ggü. Kunzgasse,0022,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728717,POINT (16.380295627198212 48.236124076582016),20,Dresdner Straße,# Kampstraße,2318,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728718,POINT (16.369090672839466 48.22772635821732),20,Klosterneuburger Straße,# Traunfelsgasse,0382,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728719,POINT (16.377283368769678 48.2470144543331),20,Kapaunplatz,# Aignerstraße,0360,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728720,POINT (16.375258861099713 48.235316380106795),20,Leipziger Straße,Ecke Hellwagstraße,2981,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728721,POINT (16.37798050365541 48.240962945549455),20,Marchfeldstraße,# Pasettistraße,0353,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728722,POINT (16.379039845743225 48.240082348654454),20,Stromstraße,# Pasettistraße,0352,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728723,POINT (16.367931120516076 48.22940177396207),20,Klosterneuburger Straße,# Webergasse,0381,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728724,POINT (16.250845465928933 48.20746648182349),14,Anzbachgasse,ggü. 8,2929,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728725,POINT (16.363772333545008 48.23310170050513),20,Treustraße,# Pappenheimgasse,2983,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728727,POINT (16.3890651685656 48.23761387032357),20,Wehlistraße,88-98,0030,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728729,POINT (16.378555641549944 48.245290614618256),20,Friedrich Engels Platz,ggü. 10,0358,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728730,POINT (16.38137569594783 48.239626245926736),20,Winarskystraße,# Leystraße,0355,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728731,POINT (16.372912227723887 48.23728317989485),20,Stromstraße,ggü. Hartlgasse,0371,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728732,POINT (16.381925680791813 48.239227603735564),20,Durchlaufstraße,# Laystraße,3422,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728734,POINT (16.289064945142982 48.192288405593764),14,Kaltenbäckgasse,9,2924,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728735,POINT (16.30994192333638 48.19670751049868),14,Märzstraße,129,2925,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728736,POINT (16.367493771656438 48.23282693923611),20,Romanogasse,30,0379,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728737,POINT (16.38712551897027 48.23935108574711),20,Wehlistraße,72-86,0029,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728739,POINT (16.378884070563934 48.2383892443222),20,Winarskystraße,bei Meldemannstraße,2990,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728740,POINT (16.390598152324557 48.23702608892071),20,Traisengasse,,0356,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728741,POINT (16.29494257525224 48.19761246619476),14,Lützowgasse,ggü. 24,2637,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728742,POINT (16.38240339034421 48.23420079402549),20,Dresdner Straße,# Gasteigergasse,2319,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728743,POINT (16.37896249305582 48.24295831161157),20,Marchfeldstraße,16-18,0032,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728744,POINT (16.328165686524205 48.189679057059514),15,Dadlergasse,12,2729,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728745,POINT (16.391502734896296 48.23286290350197),20,Innstraße,ggü. Vorgartenstraße,0365,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728747,POINT (16.373558782617238 48.2452914413982),20,Forsthausgasse,#Kornhäuselgasse,0359,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728748,POINT (16.376541978550218 48.233902037751264),20,Nordwestbahnstraße,ggü. Brigittagasse,0021,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727704,POINT (16.37828001988898 48.15038851893649),10,Per-Albin-Hansson-Straße,ggü. 40,3344,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727705,POINT (16.368436058736574 48.18051492910586),10,Alxingergasse,8,3342,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727715,POINT (16.39653652461697 48.263784113959),21,Peitlgasse,1,2083,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727732,POINT (16.30435541657841 48.22368936870653),16,Rosenackerstraße,7,1403,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728749,POINT (16.363839964685205 48.23744564075789),20,Brigittenauer Lände,Sackgasse Höhe Gürtelbrücke,2431,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728751,POINT (16.370604834757966 48.227630100751874),20,Jägerstraße,14,0377,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728752,POINT (16.337308031946705 48.19096698035674),15,Mariahilfer Gürtel,ggü. 5,2928,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728753,POINT (16.376555660433112 48.23722397766882),20,Universumstraße,ggü. 22,2986,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728757,POINT (16.37725291693377 48.241696421056965),20,Pasettistraße,# Schottenauergasse,2987,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728759,POINT (16.367538224876093 48.24330474719295),20,Brigittenauer Lände,172 - 174,2985,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728760,POINT (16.374834375762177 48.23809737545663),20,Stromstraße,18-20,1192,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728761,POINT (16.36244397361235 48.24563944588042),19,Geistingergasse,1,2945,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728762,POINT (16.364105072119685 48.24823238407651),19,Boschstraße,3,2946,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728763,POINT (16.364511129067253 48.24907505124904),19,Boschstraße,7,2955,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728764,POINT (16.365115644762902 48.25076258280335),19,Boschstraße,15-17,2947,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728765,POINT (16.365986005868066 48.252842395122634),19,Boschstraße,19,2948,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728766,POINT (16.365109341618325 48.25385844955161),19,Heiligenstädter Straße,90,2953,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728767,POINT (16.364803196511737 48.253304926049154),19,Heiligenstädter Straße,88,2952,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728768,POINT (16.364086057037493 48.251735671989394),19,Heiligenstädter Straße,86,2951,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728769,POINT (16.369114259344077 48.24164160436432),20,Spielmanngasse,ggü. 3,0366,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728770,POINT (16.37161505348586 48.256400966909986),20,Handelskai,,2992,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728771,POINT (16.38139832276633 48.24465716742683),20,Friedrich-Engels-Platz / Wehlistraße,ggü. Wehlistraße,0357,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728773,POINT (16.31078471674248 48.23480554681983),18,Naaffgasse,34,1106,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728774,POINT (16.362932340109587 48.23474656306661),20,Treustraße,bei 69,2982,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728775,POINT (16.4201180838122 48.21217596393702),2,Engerthstraße,232-238/16,2566,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728776,POINT (16.40516872178678 48.21806890159366),2,Ausstellungsstraße,49,2994,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728777,POINT (16.461422140973667 48.16016480440981),11,Kaiser Ebersdorfer Straße,243,2768,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728779,POINT (16.295180258834186 48.176536636533356),13,Elisabethallee,24,2021,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728780,POINT (16.290026804127763 48.234268319916985),17,Waldegghofgasse,3-5,3183,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728782,POINT (16.306685245843298 48.23030196265534),17,Braumüllergasse,1,3188,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728789,POINT (16.35164684072861 48.2282275926541),9,Lustkandlgasse,34-38,3775,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728793,POINT (16.446109344869814 48.25503444617307),22,Panethgasss,ggü. 9,2605,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728795,POINT (16.520360064314914 48.23395459447276),22,Burgkmairgasse,43,2889,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728797,POINT (16.353107641504337 48.1710028931953),10,Franz-Schuh-Gasse,24,2731,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728799,POINT (16.371245934350014 48.24105990654738),20,Adalbert Stifter Straße,35,2984,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728800,POINT (16.375196296881107 48.24250193669099),20,Meldemannstraße,,2989,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728805,POINT (16.361103339197566 48.25982817474069),19,Zahnradbahnstraße,17,2329,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728806,POINT (16.362064092083166 48.25764729633982),19,Hammerschmidtgasse,20,1225,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728807,POINT (16.35685310994106 48.27500812257807),19,Kuchelauer Hafenstraße,,2957,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26728809,POINT (16.352040920507303 48.18984997646154),5,Rechte Wienzeile,123,0064,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727769,POINT (16.374491975926272 48.243804797830755),20,Lorenz-Böhler-Gasse,1-3,0027,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727772,POINT (16.425372929425233 48.29693298343331),21,Stammersdorfer Straße,ggü. 173,2054,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
